ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate,ts,iters_per_sec,perf_per_watt
2026-02-23T18:23:32+00:00,0,,,64,691.817,700.0,100,24,1470,3201,1741.5625,143771.0,0,2026-02-23 18:23:32+00:00,605.5037,0.8752368039524903
2026-02-23T18:23:33+00:00,0,,,64,692.648,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:33+00:00,604.8985,0.873312995922893
2026-02-23T18:23:34+00:00,0,,,64,693.3,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:34+00:00,604.6769,0.8721720755805569
2026-02-23T18:23:35+00:00,0,,,64,691.918,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:35+00:00,604.8281,0.8741326284328489
2026-02-23T18:23:36+00:00,0,,,64,691.977,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:36+00:00,604.8842,0.8741391693654558
2026-02-23T18:23:37+00:00,0,,,64,692.983,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:37+00:00,604.9987,0.8730354135671439
2026-02-23T18:23:38+00:00,0,,,64,692.285,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 18:23:38+00:00,604.8936,0.873763840036979
2026-02-23T18:23:39+00:00,0,,,64,692.111,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:39+00:00,604.682,0.8736777771195661
2026-02-23T18:23:40+00:00,0,,,64,693.847,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 18:23:40+00:00,604.5195,0.8712576403731659
2026-02-23T18:23:41+00:00,0,,,64,692.07,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 18:23:41+00:00,605.6627,0.8751465892178536
2026-02-23T18:23:42+00:00,0,,,64,691.682,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 18:23:42+00:00,605.3348,0.8751634421598364
2026-02-23T18:23:43+00:00,0,,,64,692.511,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 18:23:43+00:00,604.6887,0.8731828086485269
