ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T17:54:22+00:00,0,,,30,76.108,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:23+00:00,0,,,30,76.11,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:24+00:00,0,,,30,76.132,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:25+00:00,0,,,30,76.07,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:26+00:00,0,,,30,76.103,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:27+00:00,0,,,30,76.07,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:28+00:00,0,,,30,76.038,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:29+00:00,0,,,30,76.055,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:30+00:00,0,,,30,76.14,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:31+00:00,0,,,30,76.077,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:32+00:00,0,,,30,76.038,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:33+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:34+00:00,0,,,30,76.14,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:35+00:00,0,,,30,76.044,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:36+00:00,0,,,30,76.081,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:37+00:00,0,,,30,76.03,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:38+00:00,0,,,30,76.036,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:39+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:40+00:00,0,,,30,76.106,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:41+00:00,0,,,30,76.05,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:42+00:00,0,,,30,76.113,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:43+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:44+00:00,0,,,30,76.036,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:45+00:00,0,,,30,76.071,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:46+00:00,0,,,30,76.008,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:47+00:00,0,,,30,75.998,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:48+00:00,0,,,30,76.151,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:49+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:50+00:00,0,,,30,76.12,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:51+00:00,0,,,30,76.114,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:52+00:00,0,,,30,76.044,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:53+00:00,0,,,30,76.098,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:54+00:00,0,,,30,76.081,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:55+00:00,0,,,30,76.088,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:56+00:00,0,,,30,76.103,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:57+00:00,0,,,30,76.096,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:58+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:59+00:00,0,,,30,76.065,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:00+00:00,0,,,30,76.035,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:01+00:00,0,,,30,76.105,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:02+00:00,0,,,30,76.128,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:03+00:00,0,,,30,76.085,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:04+00:00,0,,,30,76.098,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:05+00:00,0,,,30,76.094,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:06+00:00,0,,,30,76.102,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:07+00:00,0,,,30,76.102,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:08+00:00,0,,,30,76.121,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:09+00:00,0,,,30,76.06,700.0,0,0,345,3201,604.6875,143771.0,0
