ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate,ts,iters_per_sec,perf_per_watt
2026-02-23T20:16:04+00:00,0,,,64,691.133,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:04+00:00,604.9022,0.875232697613918
2026-02-23T20:16:05+00:00,0,,,64,692.025,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:05+00:00,604.6848,0.8737903977457462
2026-02-23T20:16:06+00:00,0,,,64,692.06,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:06+00:00,605.1826,0.8744655087709159
2026-02-23T20:16:07+00:00,0,,,64,690.794,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:07+00:00,605.3293,0.8762804830383588
2026-02-23T20:16:08+00:00,0,,,64,691.557,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:08+00:00,605.1025,0.8749857206275115
2026-02-23T20:16:09+00:00,0,,,64,691.835,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:09+00:00,604.8412,0.8742564339763093
2026-02-23T20:16:10+00:00,0,,,64,692.456,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:10+00:00,605.8236,0.8748911122150722
2026-02-23T20:16:11+00:00,0,,,64,692.182,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:11+00:00,605.9493,0.8754190371896409
2026-02-23T20:16:12+00:00,0,,,64,692.459,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:12+00:00,605.6387,0.874620302429458
2026-02-23T20:16:13+00:00,0,,,64,693.502,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:13+00:00,605.9039,0.8736873145282927
2026-02-23T20:16:14+00:00,0,,,64,690.503,700.0,100,24,1470,3201,1741.5625,143771.0,0,2026-02-23 20:16:14+00:00,605.709,0.8771996645923332
2026-02-23T20:16:15+00:00,0,,,64,693.501,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:15+00:00,605.2555,0.8727536081418772
2026-02-23T20:16:16+00:00,0,,,64,693.076,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:16+00:00,605.0857,0.8730437931770829
2026-02-23T20:16:17+00:00,0,,,64,692.072,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:17+00:00,605.0528,0.8742627934665758
2026-02-23T20:16:18+00:00,0,,,64,692.594,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:18+00:00,604.9967,0.8735228719856077
2026-02-23T20:16:19+00:00,0,,,64,692.449,700.0,100,23,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:19+00:00,604.8137,0.8734415097718389
2026-02-23T20:16:20+00:00,0,,,64,691.686,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:20+00:00,605.0223,0.8747065865146901
2026-02-23T20:16:21+00:00,0,,,64,691.887,700.0,100,24,1470,3201,1741.5625,143771.0,0,2026-02-23 20:16:21+00:00,605.0939,0.8745559607276912
2026-02-23T20:16:22+00:00,0,,,64,692.718,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:22+00:00,605.7203,0.8744110879174498
2026-02-23T20:16:23+00:00,0,,,64,690.433,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:23+00:00,605.3172,0.8767211300734467
2026-02-23T20:16:24+00:00,0,,,64,690.22,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:24+00:00,604.3421,0.8755789458433542
2026-02-23T20:16:25+00:00,0,,,64,692.471,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:25+00:00,606.6669,0.8760899734429313
2026-02-23T20:16:26+00:00,0,,,64,690.422,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:26+00:00,604.7578,0.8759248691380054
2026-02-23T20:16:27+00:00,0,,,64,693.458,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:27+00:00,605.5184,0.8731868404431127
2026-02-23T20:16:28+00:00,0,,,64,693.462,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:28+00:00,605.8457,0.8736537834805655
2026-02-23T20:16:29+00:00,0,,,64,690.886,700.0,100,23,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:29+00:00,604.7413,0.8753127143986129
2026-02-23T20:16:30+00:00,0,,,64,692.343,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:30+00:00,605.0718,0.873948028650539
2026-02-23T20:16:31+00:00,0,,,64,691.687,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:31+00:00,605.677,0.8756518483071101
2026-02-23T20:16:32+00:00,0,,,64,693.47,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:32+00:00,604.7302,0.8720351276911762
2026-02-23T20:16:33+00:00,0,,,64,692.737,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:33+00:00,605.1437,0.8735547545460975
2026-02-23T20:16:34+00:00,0,,,64,690.963,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:34+00:00,604.8343,0.8753497654722467
2026-02-23T20:16:35+00:00,0,,,64,690.412,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:35+00:00,605.0227,0.8763212400711459
2026-02-23T20:16:36+00:00,0,,,64,692.398,700.0,100,24,1470,3201,1741.5625,143771.0,0,2026-02-23 20:16:36+00:00,604.5267,0.8730913434180919
2026-02-23T20:16:37+00:00,0,,,64,692.994,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:37+00:00,605.5794,0.8738595139351855
2026-02-23T20:16:38+00:00,0,,,64,692.566,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:38+00:00,604.7805,0.8732460155422009
2026-02-23T20:16:39+00:00,0,,,64,690.948,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:39+00:00,605.576,0.8764422214117417
2026-02-23T20:16:40+00:00,0,,,64,692.764,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:40+00:00,605.7907,0.87445464833623
2026-02-23T20:16:41+00:00,0,,,64,692.538,700.0,100,23,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:41+00:00,604.8924,0.873442901328158
2026-02-23T20:16:42+00:00,0,,,64,692.295,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:42+00:00,604.635,0.8733776785907742
2026-02-23T20:16:43+00:00,0,,,64,692.817,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:43+00:00,604.6602,0.8727560091625928
2026-02-23T20:16:44+00:00,0,,,64,692.953,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:44+00:00,606.6349,0.8754344089714599
2026-02-23T20:16:45+00:00,0,,,64,690.928,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:45+00:00,606.5771,0.877916512284927
2026-02-23T20:16:46+00:00,0,,,64,693.852,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:46+00:00,605.056,0.8720245816110641
2026-02-23T20:16:47+00:00,0,,,64,691.049,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:47+00:00,605.0087,0.8754931994692128
2026-02-23T20:16:48+00:00,0,,,64,691.702,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:48+00:00,604.63,0.8741192016215075
2026-02-23T20:16:49+00:00,0,,,64,691.115,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:49+00:00,604.6605,0.8749057682151306
2026-02-23T20:16:50+00:00,0,,,64,693.053,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:50+00:00,604.9758,0.8729141927096485
2026-02-23T20:16:51+00:00,0,,,64,692.861,700.0,100,24,1455,3201,1741.5625,143771.0,0,2026-02-23 20:16:51+00:00,605.1207,0.8733652204410409
2026-02-23T20:16:52+00:00,0,,,64,691.2,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:52+00:00,604.3761,0.8743867187499998
2026-02-23T20:16:53+00:00,0,,,64,691.609,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:53+00:00,605.7239,0.8758184176319278
2026-02-23T20:16:54+00:00,0,,,64,692.846,700.0,100,24,1425,3201,1741.5625,143771.0,0,2026-02-23 20:16:54+00:00,604.6805,0.8727487782277736
2026-02-23T20:16:55+00:00,0,,,64,692.596,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:55+00:00,605.3655,0.874052838884429
2026-02-23T20:16:56+00:00,0,,,64,691.619,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:56+00:00,604.8366,0.8745228225366856
2026-02-23T20:16:57+00:00,0,,,64,690.846,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:57+00:00,605.3678,0.8762702541521554
2026-02-23T20:16:58+00:00,0,,,64,691.444,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:58+00:00,604.7929,0.8746809575323526
2026-02-23T20:16:59+00:00,0,,,64,692.543,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 20:16:59+00:00,604.7902,0.8732890232086672
2026-02-23T20:17:00+00:00,0,,,64,692.286,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:17:00+00:00,606.2136,0.8756693043048683
2026-02-23T20:17:01+00:00,0,,,64,691.422,700.0,100,23,1455,3201,1741.5625,143771.0,0,2026-02-23 20:17:01+00:00,605.164,0.8752455085316926
2026-02-23T20:17:02+00:00,0,,,64,692.931,700.0,100,23,1440,3201,1741.5625,143771.0,0,2026-02-23 20:17:02+00:00,604.9916,0.8730906829107081
2026-02-23T20:17:03+00:00,0,,,64,691.751,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:17:03+00:00,605.9298,0.875936283431466
2026-02-23T20:17:04+00:00,0,,,64,693.129,700.0,100,24,1440,3201,1741.5625,143771.0,0,2026-02-23 20:17:04+00:00,604.9208,0.8727391293684148
